Pose	Type	Depicts		
pentagon	setting	the pentagon, military headquarters		
alabama	setting	a stately Southern manor		
new jersey	setting	a watertower in the suburbs 		
minnesota	setting	the Minnesota skyline, a bustling city		
harvard	setting	a leafy college campus, a red-brick university campus, an Ivy League college		
wyoming	setting	rural Wyoming, Devils Tower in Wyoming		
kentucky	setting	a sleepy farm in Kentucky		
berkeley	setting	a leafy college campus, a college campus in the fall		
virginia	setting	a colonial-style house		
yosemite	setting	Yosemite national park, El Capitan in Yosemite		
arkansas	setting	a lush forest overlooking a river		
springfield	setting	Moe's Tavern, a dive bar in Springfield		
wellesley	setting	an Ivy Leage college in the fall		
argentina	setting	the pampas in Argentina, a grassy field of sheep and cows		
cambridge	setting	a college on the river with rowboats		
oxford	setting	Oxford university, an old-fashioned university		
boston	setting	downtown Boston, a patriotic monument in a city park		
wind farm	setting	a wind farm, a field full of wind turbines		
above florence	setting	the Duomo in Florence, the piazze del Duomo		
sistine ceiling	setting	the Sistine ceiling		
columbia	setting	a leafy college campus, a college campus in the fall		
castle walls	setting	a castle moat with a drawbridge		
castle in valley	setting	castle walls in a valley		
banks of the Styx	setting	the banks of the river Styx		
black water	setting	a river of dark water, the dark waters of the Styx		
rubbish on river bank	setting	a river bank strewn with rubbish		
disgusting	pose	behaving in a disgusting fashion, doing something disgusting, being disgusting		
arrested	pose	surrending to the police, under arrest		
begging	pose	pleading on one's knees, reduced to begging		
bowling	pose	rolling a strike, going bowling		
brainwashed	pose	in a trance, stumbling about in a trance, being hypnotised, walking in one's sleep, sleepwalking		
building	pose	laying bricks, building a wall, building a brick wall		
carrying	pose	carrying a box, carrying boxes		
carrying for	pose	delivering a package, delivering packages		
carrying bowl	pose	holding a punch bowl, serving punch at a party		
carrying fishbowl	pose	carrying a fishbowl, carrying a goldfish bowl, caaring for a goldfish		
chained	pose	straining against shackles and heavy chains		
challenging	pose	laying down the gauntlet, issuing a challenge, challenging a rival		
charmed	pose	feeling utterly charmed, feeling as if under a spell		
childish	pose	behaving childishly, feeling like a little child again, reliving one's childhood, playing with childish things		
infantile	pose	behaving like a baby, acting as innocent as a newborn child		
cleaning	pose	cleaning and scrubbing with soap and suds and water		
slopping	pose	slopping out a bucket of waste, carrying a bucket of water		
picnicking	pose	going to a picnic, carrying a basket of fruit, coming back from a farmer's market		
leaking	pose	carrying a leaky bucket of water, spilling water from a leaky bucket, leaking water everywhere		
committing	pose	committing to a cause, dedicating oneself to a noble cause, offering to fight for a noble cause		
golfing	pose	playing golf, teeing off at the golf course, putting a ball on the golf course, swinging a golf club		
competing	pose	kicking a football, playing a competitive sport, playing soccer, running up the field with the ball		
competing for	pose	running away with the ball, kicking a football back down the field		
competing with	pose	jumping into the fray, leaping into action		
confident	pose	striking a confident pose, exuding confidence, looking to the future with confidence		
confused	pose	confused and wary about the future, feeling confused about what just happened, feeling confused and unsure what to do next		
cooking	pose	holding a mixing bowl and a wooden spoon, making brownies with a wooden spoon, wearing a chef's hat		
cutting bread	pose	slicing a loaf of bread with a sharp knife, making a sandwich from some bread		
cutting the cheese	pose	cutting a block of cheese with a sharp knife		
creating	pose	offering ideas and clever suggestions, bursting with ideas and suggestions		
mounting bicycle	pose	getting on to a bicycle, preparing to go for a bicycle ride		
dismounting bicycle	pose	getting off a bicycle, coming back from a bicycle ride		
cycling	pose	riding a bicycle		
motorcycling	pose	riding a motorbike		
dead	pose	hiding behind a gravestone, watching a revenant rise from the dead, shaking with fear in a graveyard, contemplating death		
defending	pose	guarding the citadel with a rifle, standing to attention with a rifle, defending democracy with a rifle		
depressed	pose	feeling depressed and under a dark cloud, living under a dark cloud, suffering from depression		
designing	pose	holding a blueprint for a new product, putting a new idea into practice, proudly showing the blueprint for a better lightbulb		
disappointed	pose	feeling disappointed, lacking confidence and direction, feeling lost and unsure of oneself		
skunk	pose	stinking of poo, stinking like a skunk		
elephant	pose	supporting the Republican party, campaigning for the Republican nomination, dressed as an elephant		
dispatched	pose	going on an important mission, delivering an important message		
dressing	pose	getting dressed, choosing what clothes to wear, reorganizing the clothes in a wardrobe		
drinking coffee	pose	drinking a cup of coffee, drinking coffee and eating a donut		
driving	pose	driving a car, holding the steering wheel of a car		
dying	pose	crying at the grave of a loved one, mourning the loss of a loved one, begging for one's life at a grave, coming to term's with death		
embarrassed	pose	feeling embarrassed, feeling exposed, feeling humiliated		
expelled	pose	leaving with a suitcase and a bad attitude, angrily leaving town with a suitcase, angrily moving on		
exploding	pose	exploding in a puff of smoke and a ball of fire, stepping on a landmine, being blown sky high		
falling	pose	falling backwards, taking a sudden tumble, stumbling and falling, getting knocked backwards		
standing on head	pose	standing on one's head, doing a headstand, doing cartwheels		
farming	pose	taking a prize pig to market, walking with a pig		
farting	pose	farting loudly, breaking wind, suffering from a bad case of indigestion		
fighting with	pose	running off to do battle, running headlong into the fray, running headlong into battle with fists swinging		
goofy	pose	acting the fool, playing the fool, goofing around, fooling around		
hungry	pose	preparing to eat, salivating at the prospect of food, hungrily waving a knife and fork, tucking into a large meal with knife and fork, salivating at the thought of a juicy meal		
imitating	pose	hiding behind a mask, pretending to be someone else, dressing up as someone else, doing an impression of someone		
impressed	pose	feeling in awe of someone, reacting with awe and feeling impressed		
imprisoned	pose	feeling confined and imprisoned, imprisoned behind bars, rotting in jail		
juggling	pose	juggling balls, performing a party trick, being the life of the party, entertaining others		
squirting	pose	squirting water from a toy pistol, making a mess with a water pistol, spraying water from a squirt gun		
laughing	pose	laughing heartily, pointing and laughing mockingly, mocking another by pointing and laughing		
lawyer	pose	holding a briefcase and money, negotiating a backroom deal, cutting a business deal, making a plea deal		
neutral	pose	passing the time of day		
overshadowed	pose	feeling overshadowed		
passing telephone	pose	experiencing shock and awe, reeling with shock, feeling overcome with awe		
pleading	pose	pleading on one's knees, reduced to begging, pleading for mercy, pulling on the heartstrings		
posing	pose	posing for a photo, posing for a portrait, posing for a selfie		
preying	pose	preying on the innocent, scaring the life out of someone, preparing to pounce on a victim, hunting for a victim		
examining document	pose	examining a document, examining paperwork, examining a document with a magnifying glass		
reading newspaper	pose	reading the newspaper, catching up with the news		
reading magazine	pose	reading a magazine		
rejected	pose	feeling rejected and alone, feeling abandoned, feeling like an outcast		
riding	pose	riding a horse, galloping into the fray, arriving on horseback, competing in a horse race		
rude	pose	being vulgar and rude, using lewd gestures and foul language, angrily using lewd gestures and bad language		
running	pose	running into the fray, running to the scene		
sad	pose	feeling sad and tearful, bursting out crying, weeping and wailing, crying like a baby		
scared	pose	feeling scared, feeling terrified, shaking with terror		
searching	pose	searching with a flashlight, exploring with a flashlight, peering into the gloom with a flashlight		
shilling	pose	campaigning for a favored candidate, handing out pamphlets for a candidate		
screaming	pose	screaming and shouting, screaming at the top of one's lungs, letting out a sharp howl, howling like a spoilt brat, howling like a scalded cat		
sick	pose	feeling sick and helpless, being confined to a wheelchair, struggling with a wheelchair		
singing	pose	singing a song of joy, singing karaoke, singing into a microphone		
sipping	pose	sipping a martini, making small talk at a cocktail party		
smitten	pose	overcome with love, falling in love, falling head over heels in love		
smoking cigar	pose	smoking a big cigar		
space cadet	pose	taking one giant leap for mankind, planting the flag on an alien world, boldly going where no man has gone before, wearing a space suit and carrying a flag		
slicing	pose	holding a sharp knife and a Swiss army knife, comparing knives		
styling	pose	cutting hair, working in a hair salon, styling hair with scissors and blowdryer, holding a pair of scissors and a blowdryer		
summoning	pose	issuing a royal summons, summoning a subject to an audience with the monarch		
alarmed	pose	feeling shocked and alarmed, reacting with shock and awe		
surprised	pose	feeling surprised, reacting with surprise		
swimming	pose	going for a swim, swimming in water		
telephoning	pose	answering the telephone, speaking on the telephone		
blasting	pose	unleashing terror, bursting with anger, unleashing immense destructive power, hurling thunderbolts		
toppled	pose	being toppled from power, being knocked off one's perch, losing one's position of power, falling from power		
towering	pose	towering over others, feeling on top of the world, rising to a great height		
training	pose	working out with weights, training with weights, sweatily lifting weights		
transported	pose	being transported, being a backseat driver, being taken for a ride		
transporting	pose	sitting in the driver's seat, driving away in a vehicle		
unaware	pose	having the strange feeling of being watched, having the feeling of being followed, having to watch one's back		
walking a dog	pose	walking a dog, taking a dog for a walk		
unwary	pose	walking into a trap, stepping on a bear trap, walking into danger, making the wrong decision 		
visiting	pose	arriving with a suitcase, carrying a suitcase, coming on vacation		
stranger	pose	arriving with a suitcase and an air of mystery		
walking away	pose	walking away purposefully, exiting stage left		
working	pose	working in an office, sweating over the bureacracy in an office, sweating next to a filing cabinet 		
wounded	pose	suffering an injury, suffering a head injury, wailing in pain		
cowering	pose	cowering in fear amongst the rats		
popping pills	pose	popping pills, swallowing pills, abusing drugs		
gimp	pose	wearing black leather and chains, getting dressed as a gimp		
thoughtful	pose	thinking carefully about what just happened, thinking carefully about what to do next		
rising from coffin	pose	rising from the dead, rising from a coffin, emerging from a coffin		
on fire	pose	catching on fire and running in panic, suddenly bursting into flame 		
gorgon	pose	turning people to stone with a horrific gaze, scaring people with a head full of snakes, becoming a complete gorgon		
insisting	pose	insisting on a point, making a point, insistently pointing and debating		
pushing a rock	pose	pushing a giant rock		
lying down	pose	lying down		
holding umbrella	pose	holding an umbrella, holding an umbrella and pointing		
introducing oneself	pose	introducing oneself		
using umbrella	pose	using an umbrella, using an umbrella to shelter from the rain		
shielding with umbrella	pose	shielding from the elements with an umbrella		
eating	pose	eating a hamburger, eating fast food, enjoying a burger		
eating grapes	pose	eating grapes, eating bunches of grapes		
aching	pose	taking a pain killer to relieve an ache		
digging deeper	pose	asking a pertinent question, making a reasoned argument		
shrugging	pose	reacting with disbelief, shrugging with indifference, expressing skepticism		
recollecting	pose	recollecting the past, thinking about the consequences of a decision, coming to a reasoned decision, considering all of the evidence		
blind warrior	pose	stumbling with a sword		
blind warrior with beard	pose			
unconscious	pose	falling unconscious, falling into a coma, blacking out on the floor		
spraying bugs	pose	spraying insects with bug killer, spraying bugs with an aerosol		
chased by mosquitos	pose	being chased by mosquitos, running from mosquitos		
chased by wasps	pose	being chased by wasps, running from wasps, getting stung by wasps, getting stung by bees, being chased by bees, kicking a hornet's nest		
waving flag	pose	waving the flag, waving the white flag		
slogging	pose	slogging on a hot day, sweating on a hot day, slogging and sweating		
split in two	pose	being split in two, being disembowelled		
surfing	pose	surfing a big wave, riding a surfboard		
targeted	pose	feeling targeted with a bullseye, wearing a bullseye, being the centre of attention  		
nocking	pose	nocking an arrow in a bow, preparing to shoot an arrow from a bow		
rollerskating	pose	rollerskating, eating pizza while rollerskating, relaxing on rollerskates		
skating	pose	figure skating on ice, going ice skating		
sitting	pose	sitting on a decorative urn, sitting on a Ming vase		
slurping	pose	drinking a pint of Guinness, enjoying a pint of beer		
arriving	pose	arriving with a suitcase, turning up with a suitcase, waving while carrying a suitcase		
tempting	pose	making a tempting offer, being seductively tempting, tempting someover over to the dark side, making an offer you can't refuse, doing the devil's work		
watching TV	pose	watching TV, watching a TV show		
watering	pose	watering a plant, tending a plant with a watering can		
spreading	pose	blowing on a dandelion, spreading dandelion seeds		
nude	pose	posing in the nude, posing for Playboy magazine, posing for a nude photo		
mauled by dog	pose	being mauled by a vicious dog		
fleeing	pose	fleeing the scene of the crime, going on the run, getting the hell out of Dodge, making a run for it		
centaur	pose	a centaur		
bending to see	pose	bending down to see with a magnifying glass		
sitting on box	pose	sitting on a box, sitting on a crate, sitting on a packing crate		
sitting on rock	pose	sitting on a rock		
hulking	pose	turning into a hulking monster, turning into the incredible Hulk		
rumbling	pose	suffering from a nervous stomach, suffering from a stomach ache, suffering from indigestion, getting a bad feeling in the gut, rumbling with hunger		
crucified with beard	pose	being crucified for their beliefs		
spiky	pose	feeling in a prickly mood, making barbed comments, exhibiting a spiky personality		
suave	pose	behaving in a suave manner, suavely carrying an umbrella, taking a gentlemanly stroll		
attracting	pose	attracting others, exuding pure magnetism, exuding an animal magnetism, cutting a very attractive figure		
stepping over	pose	stepping over a pile of dog shit, stepping over a pile of poop, stepping over a dog turd		
stepping up	pose	stepping up, stepping into the fray		
stepping down	pose	stepping down, putting their best foot forward		
regaining consciousness	pose	regaining consciousness, awakening from a coma, waking up after a long sleep		
weighing	pose	carefully weighing all the options, weighing the alternatives		
guessing	pose	taking a wild guess, flipping a coin, gambling everything on the toss of a coin, making a random decision		
tossing drink	pose	tossing a drink away, soshing beer everywhere		
timekeeping	pose	keeping an eye on the time, keeping one eye on the clock, watching the clock		
chuckling	pose	chuckling, laughing maniacally, having a good laugh, having a belly laugh, laughing heartily		
handy	pose	choosing the right tool for the job, getting ready for a job, gathering the tools for a job, inspecting the tools		
warrior	pose	getting ready to do battle, charging into battle, wearing armour and carrying a sword		
rowing	pose	rowing a rowboat, rowing a small boat		
greeting	pose	greeting with a smile, welcoming guests with a smile, giving a warm greeting		
sprinting	pose	sprinting at top speed, running the 100 meter dash, running in a foot race, jogging and sweating		
spraying paint	pose	spraying paint, spraying graffiti on the wall		
hitler	pose	extolling fascism, subjugating minorities, oppressing minorities		
blowdrying	pose	drying hair with a blowdryer, styling hair with a blowdryer,   maintaining salon-quality hair, using a hairdryer		
blowing balloon	pose	inflating a balloon, blowup up a party balloon, blowing a sbubble, inflating a bubble		
poxy	pose	suffering from a terrible disease, suffering from a contagious disease, shivering with the pox		
shivering	pose	shivering with the cold, coming down with a cold		
opening can	pose	opening a tin can with a can opener		
opening jar	pose	opening a jar, opening the cookie jar		
drinking from bottle	pose	drinking straight from the bottle, drinking the last drop		
looking in mirror	pose	looking in the mirror, looking in the mirror while blowdrying hair, looking in the mirror while using a blowdryer		
blending	pose	using a kitchen blender, making a mess with a kitchen blender		
mixing	pose	mixing and blending ingredients, mixing a cocktail, cooking up a storm		
reacting	pose	producing a chemical reaction, combining chemicals to create a reaction, experimenting with chemicals		
icarus	pose	falling off one's perch, suffering a sudden fall from grace, flying too close to the sun 		
on crutch	pose	hobbling around on a crutch, hobbling around on one leg		
broken legs	pose	sitting in a wheelchair with two broken legs, suffering from two broken legs		
hacking	pose	hacking into the mainframe, using a computer for illicit purposes 		
tortoise	pose	crawling around like a tortoise		
calculating	pose	using a calculator, calculating some numbers on a calculator, running the numbers on a calculator		
rent a nude mob	pose	attending a nudist colony		
loving twosome	pose	having a romantic moment, cuddling and kissing		
holding branch	pose	holding out an olive branch, holding a tree branch		
holding club	pose	swinging a giant club, brandishing a giant club		
holding flower	pose	holding a flower, arriving with flowers, holding a bouquet of flowers, giving flowers		
holding fireball	pose	holding a fireball, holding a ball of fire, creating a fireball		
holding whirlwind	pose	unleashing a whirlwind, holding a whirlwind, stirring up a whirlwind		
holding globe	pose	holding a globe of the Earth, holding a map of the Earth		
drilling	pose	drilling for oil, finding oil		
mining	pose	mining coal, swinging a pickaxe, digging coal		
holding ball	pose	holding a ball		
holding drum	pose	holding a drum, playing the drums		
playing tennis	pose	playing tennis, serving the ball in tennis, hitting a serve in tennis, swinging a tennis racket 		
playing banjo	pose	playing the banjo		
dunking	pose	dunking a basketball, slamdunking a basketball		
playing guitar	pose	playing the guitar		
playing violin	pose	playing the violin		
snacking	pose	eating a donut, eating a box of donuts, enjoying a snack		
rent a scared mob	pose			
giving chocolate	pose	giving a box of chocolates, going down on bended knee with a box of chocolates		
gifting	pose	giving a gift, making origami, making an origami unicorn, giving a very special gift		
rent a mob	pose	rousing the rabble, leading a mob		
rent a mob with beard	pose			
blowing a trumpet	pose	blowing a trumpet, blowing one's own horn		
drowning	pose	drowning in deep water		
lost	pose	feeling lost and confused		
on treadmill	pose	running on a treadmill		
sweating	pose	sweating profusely, feeling hot and sweaty		
speeding	pose	driving like a demon, breaking the speed limit, driving too fast, burning rubber and driving too fast		
green light	pose	getting the green light to drive on		
red light	pose	waiting impatiently at a red light, waiting impatiently for the lights to change		
busy traffic in city	setting	a traffic jam, a street clogged with cars and traffic		
polluting traffic	setting	polluting traffic, a noisy traffic jam, a traffic jam in a heavily polluted city		
classroom	setting	a class room with a blackboard and lectern, a college classroom, the front of a lecture theatre		
