Description, Type, Value
a castle drawbridge, setting, drawbridge, 
an office with a drawing board, setting, drawing board, 
a bleak dungeon, setting, dungeon, 
a steep rocky embankment, setting, embankment, 
a wind farm, setting, farm, 
 a field of wind turbines, setting, farm, 
 green energy, setting, farm, 
a factory, setting, factory, 
 an assembly floor, setting, factory, 
the base of a mountain, setting, foothills, 
 rocky foothills, setting, foothills, 
a path through the forest, setting, forest path, 
a forest trail, setting, forest trail, 
 a path to a dark forest, setting, forest trail, 
a fork in the path, setting, forked path, 
a mountain surrounded by trees, setting, forest, 
a blacksmith's forge, setting, forge, 
a gravel path, setting, gravel path, 
 a stony path, setting, gravel path, 
 crazy paving, setting, gravel path, 
government buildings, setting, government, 
 the congress, setting, government, 
 a parliament, setting, government, 
the gates of hell, setting, gates of hell, 
 Hades, setting, gates of hell, 
 eternal damnation, setting, gates of hell, 
a block of ice, setting, frozen in ice, 
 an ice house, setting, frozen in ice, 
a graveyard, setting, graveyard, 
 a cemetary, setting, graveyard, 
 tombstones, setting, graveyard, 
a walled graveyard, setting, graveyard with walls, 
 a secluded graveyard, setting, graveyard with walls, 
the guillotine, setting, guillotine, 
 the French revolution, setting, guillotine, 
a haunted house, setting, haunted house, 
a gym, setting, gym, 
 a gymasium, setting, gym, 
 a workout room, setting, gym, 
hospital interior, setting, hospital, 
 a hospital ward, setting, hospital, 
hospital exterior, setting, hospital exterior, 
exterior wall with windows, setting, high windows exterior, 
interior wall with windows, setting, high windows interior, 
a hotel, setting, hotel, 
 a five-star hotel, setting, hotel, 
an interview room, setting, interview room, 
 a meeting room, setting, interview room, 
fire and brimstone, setting, lava, 
 an erupting volcano, setting, lava, 
 the end of the world, setting, lava, 
 chaos, setting, lava, 
the iron throne, setting, iron throne, 
 the throne room, setting, iron throne, 
a kitchen, setting, kitchen, 
 a kitchen counter, setting, kitchen, 
a laboratory, setting, laboratory, 
 a secret laboratory, setting, laboratory, 
a laundrette, setting, laundrette, 
a library, setting, library, 
a  lighthouse, setting, lighthouse, 
 a lighthouse surrounded by high waves, setting, lighthouse, 
a lightning storm, setting, lightning, 
a trench in a muddy field, setting, low trench, 
an airport luggage belt, setting, luggage belt, 
a bog filled with dead bodies, setting, marshlands with bodies, 
 a battlefield strewn with corpses, setting, marshlands with bodies, 
a marshland, setting, marshlands, 
 a quagmire, setting, marshlands, 
bleakest Mordor, setting, mordor, 
 the eye of Sauron, setting, mordor, 
a mountain pass, setting, mountain pass, 
 a mountain road, setting, mountain pass, 
an airplane interior, setting, airplane interior, 
the end of the world, setting, apocalypse, 
 a post-apocalyptic landscape, setting, apocalypse, 
a mountain trail, setting, mountain trail, 
 a rocky trail, setting, mountain trail, 
trees on the mountain, setting, mountain trees, 
a snow-capped mountain, setting, mountain view, 
a muddy bog, setting, mud and rats, 
 a muddy wasteland, setting, mud and rats, 
a muddy rubbish dump, setting, muddy rubbish dump, 
 a rubbish dump, setting, muddy rubbish dump, 
 an open sewer, setting, muddy rubbish dump, 
the sky at night, setting, nightsky, 
 a moonlit landscape, setting, nightsky, 
Mount Rushmore, setting, north by northwest, 
a tsunami, setting, ocean, 
 an ocean wave, setting, ocean, 
an office with water cooler and filing cabinet, setting, office 2, 
an office with water cooler, setting, office, 
the open gates of an ancient city, setting, open city gates, 
a park bench on a sunny day, setting, park bench, 
the park on a moonlit night, setting, park night, 
a police lineup, setting, police lineup, 
a totalitarian regime, setting, police state, 
 a fascist regime, setting, police state, 
a police station exterior, setting, police station, 
a polling station, setting, polling station, 
 a polling booth, setting, polling station, 
a prison topped with barbed wire, setting, prison, 
a cloudy and rainy day, setting, rain and clouds, 
a rainy day, setting, rain, 
a rainbow in the park, setting, rainbow, 
a restaurant patio, setting, restaurant exterior, 
a forest on a rainy day, setting, rainy forest, 
a restaurant and bar, setting, restaurant, 
a river of blood, setting, river of blood, 
rocks against  blue sky, setting, rocks and sky, 
a rock-strewn path, setting, rocky path, 
a rubbish dump with crows and vermin, setting, rubbish dump, 
a hair salon, setting, salon, 
 a beauty parlour, setting, salon, 
a sports field, setting, sports field, 
a theatre stage, setting, stage curtains, 
a dark cave with stalactites, setting, stalactite, 
a statue in the park, setting, statue, 
 pigeons crapping on a statue in the park, setting, statue, 
stone stairs leading down to a dungeon, setting, stone stairs, 
the sun peeking through the clouds , setting, sun and clouds, 
a dark and dank swamp, setting, swamp gas, 
a swamp hollow, setting, swamp hollow, 
a swamp with aligators, setting, swamp, 
a public restroom, setting, toilet, 
a tornado causing havoc, setting, tornado, 
the base of a tower, setting, tower base, 
a landscape with a mysterious tower in the distance, setting, tower in distance, 
a tower in a dank swamp, setting, tower in swamp, 
the cloud-shrouded spires of a city of towers, setting, tower tops, 
a red tower against a blue sky, setting, tower, 
a forest of densely-packed trees, setting, trees, 
a deep trench in a muddy field, setting, trench, 
a university campus, setting, university, 
 a red-brick university, setting, university, 
 a leafy university campus, setting, university, 
a leafy valley in autumn, setting, valley, 
an erupting volcano spewing lava and hot gas, setting, volcano, 
an exterior wall in daylight, setting, wall daylight, 
an exterior wall at night, setting, wall night, 
a suburban front door with welcome mat, setting, welcome mat, 
a living room window, setting, window cityview, 
a living room, setting, window interior, 
the winner's podium, setting, winners podium, 
 the winner's circle, setting, winners podium, 
snow-covered trees in winter, setting, winter, 
an alien invasion, setting, war of the worlds, 
 a nighttime invasion by aliens, setting, war of the worlds, 
the open road, setting, open road, 
a superstore, setting, superstore, 
 a supermarket, setting, superstore, 
the surface of the moon, setting, moonscape, 
 a lunar landscape, setting, moonscape, 
 a lunar landscape pocked with craters, setting, moonscape, 
the Earth rising above a rocky lunar landscape, setting, earthrise, 
an alien world, setting, another world, 
 nightfall on an alien world, setting, another world, 
a garden party, setting, garden party, 
 a summer party in the garden, setting, garden party, 
a dark cityscape at night, setting, outdoors night, 
a dark and dusty attic, setting, attic, 
meteors falling on a landscape of dinosaurs, setting, extinction, 
 the age of the dinosaur, setting, extinction, 
a party on the beach, setting, beach party, 
 the restaurant at the end of the world, setting, beach party, 
Shanghai, setting, shanghai, 
 the Pearl tower, setting, shanghai, 
Ayers rock, setting, australia, 
 the Australian outback, setting, australia, 
Sydney opera house, setting, sydney, 
Frankfurt town centre, setting, frankfurt, 
 a European town centre, setting, frankfurt, 
Wellington New Zealand, setting, wellington, 
a glacier surrounded by grassy mountain tops, setting, new zealand, 
a Spanish hacienda, setting, spain, 
A Korean temple, setting, korea, 
A tram on a Lisbon street, setting, lisbon, 
Bombay harbour, setting, mumbai, 
A red fort in New Delhi, setting, delhi, 
the Taj Mahal, setting, taj mahal, 
A side street in Naples, setting, naples, 
 an alley way, setting, naples, 
the colosseum, setting, rome, 
 the Roman colosseum, setting, rome, 
a Montreal street, setting, montreal, 
the Canadian wilderness, setting, canada, 
 snow-capped mountains and a crystal lake, setting, canada, 
the Hollywood hills, setting, hollywood, 
the great wall of China, setting, beijing, 
the Gobi desert, setting, gobi desert, 
 a sun-baked desert, setting, gobi desert, 
the Parthenon in Athens, setting, parthenon, 
 ancient democracy, setting, parthenon, 
 Ancient Greece, setting, parthenon, 
 the Ancient world, setting, parthenon, 
the South Pole, setting, south pole, 
 penguins on melting ice floes, setting, south pole, 
 melting icebergs, setting, south pole, 
the North Polem snow falling in the North Pole, setting, north pole, 
 snow falling on an ice field, setting, north pole, 
the Northern Lights, setting, northern lights, 
London Bridge, setting, london, 
a castle on a hill in Ireland, setting, ireland, 
 a field of sheep in Ireland, setting, ireland, 
 a field of sheep and a ruined castle, setting, ireland, 
 a ruined monastery, setting, ireland, 
Tokyo bay and Mount Fuji, setting, tokyo, 
Rio de Janeiro, setting, rio, 
Table mountain in South Africa, setting, table mountain, 
the Brandenburg gate, setting, brandenburg gate, 
 checkpoint Charlie, setting, brandenburg gate, 
the Brooklyn bridge, setting, new york, 
 New York city, setting, new york, 
the Manhattan skyline, setting, manhattan, 
a beach in California, setting, california, 
a beach in Florida, setting, florida, 
 the Florida keys, setting, florida, 
 a sunny beach with palm trees, setting, florida, 
an arid field with cactuses, setting, texas, 
 rural Texas, setting, texas, 
a cathedral in Vienna, setting, vienna, 
 a cathedral, setting, vienna, 
Red Square in Moscow, setting, red square, 
 the Kremlin, setting, red square, 
the leaning tower of Pisa, setting, pisa, 
the Eiffel tower, setting, paris, 
 a view of Paris, setting, paris, 
 a romantic view of Paris, setting, paris, 
a beach in Hawaii, setting, hawaii, 
an iron gate in Dublin, setting, dublin, 
 the Guinness brewery, setting, dublin, 
the Seattle skyline, setting, seattle, 
the United Nations, setting, united nations, 
 the United Nations building in New York, setting, united nations, 
the savannah in Africa, setting, africa, 
 an African landscape, setting, africa, 
the temple on the mount, setting, israel, 
 Jerusalem, setting, israel, 
 Israel, setting, israel, 
an Amazon fulfillment centre, setting, amazon, 
 a warehouse, setting, amazon, 
cyberspace, setting, crypto, 
 a bank vault, setting, crypto, 
a castle in Scotland, setting, scotland, 
 a castle on a hill, setting, scotland, 
a Khmer temple in Indonesia, setting, indonesia, 
 Angor Wat, setting, indonesia, 
 a temple in Cambodia, setting, indonesia, 
 a temple in Thailand, setting, indonesia, 
a Mayan pyramid, setting, mexico, 
 a Mexican pyramid, setting, mexico, 
 ancient Mexico, setting, mexico, 
 a Mayan temple, setting, mexico, 
a grassy landscape, setting, wales, 
 a field in Wales, setting, wales, 
the pampas in Argentina, setting, argentina, 
 a grassy field of sheep and cows, setting, argentina, 
a beach in Jamaica, setting, jamaica, 
a bay in Viet Nam, setting, vietnam, 
 the South China sea, setting, vietnam, 
ski chalets in Switzerland, setting, switzerland, 
Wall Street, setting, wallstreet, 
 the business district, setting, wallstreet, 
a Muslim temple, setting, islam, 
 Islamic architecture, setting, islam, 
old world charm, setting, sweden, 
 old European houses, setting, sweden, 
a Muslim temple, setting, pakistan, 
 Islamic architecture, setting, pakistan, 
windmills on the canal, setting, netherlands, 
 the Dutch countryside, setting, netherlands, 
the Supreme court, setting, scotus, 
European tourism, setting, europe, 
 European architecture, setting, europe, 
a server farm, setting, server farm, 
 a room full of computers, setting, server farm, 
a television newsroom, setting, newsroom, 
 a TV station, setting, newsroom, 
modern architecture, setting, singapore, 
 the Singapore skyline, setting, singapore, 
a shop window, setting, shop window, 
 a clothes shop, setting, shop window, 
a barren landscape, setting, arizona, 
 a barren landscape in Arizona, setting, arizona, 
 the wild west, setting, arizona, 
a ruined building in a war zone, setting, syria, 
a chemical plant, setting, chemical plant, 
 chimneys belching smoke into the air, setting, chemical plant, 
 factory chimneys, setting, chemical plant, 
a favela in Brazil, setting, favela, 
 a slum, setting, favela, 
the Petronas towers, setting, petronas, 
a beach in Thailand, setting, thailand, 
 a beach in Asia, setting, thailand, 
a quiet suburban street, setting, suburbs, 
a slum, setting, slum, 
 a ghetto, setting, slum, 
the pyramids of Giza, setting, egypt, 
 pyramids in the desert, setting, egypt, 
a town in iceland, setting, iceland, 
 a town and a glacier, setting, iceland, 
a waterfall, setting, waterfall, 
a dam, setting, dam, 
the Atomium in Brussels, setting, brussels, 
 modern art, setting, brussels, 
the Vatican, setting, vatican, 
 the Vatican in Rome, setting, vatican, 
Mar-a-Lago, setting, maralago, 
 a golf club in Florida, setting, maralago, 
inside the Deathstar, setting, deathstar interior, 
the CDC building in Atlanta, setting, cdc, 
a Spanish hacienda, setting, colombia, 
 a Spanish-style monastery, setting, colombia, 
Philadelphia, setting, philadelphia, 
 the city of brotherly love, setting, philadelphia, 
a shanty town, setting, philippines, 
 a shack in the Philippines, setting, philippines, 
a skyscraper towering over a city, setting, taiwan, 
 a skyscraper in Taiwan , setting, taiwan, 
a ruined building in a war zone, setting, libya, 
 a ruined building in Libya, setting, libya, 
a street in Havana, setting, cuba, 
a bridge in Bosnia, setting, bosnia, 
 an ancient bridge, setting, bosnia, 
dense grassland in Africa, setting, rwanda, 
 grasslands in Rwanda, setting, rwanda, 
a battlefield in Ukraine, setting, ukraine, 
a scene of devastation, setting, lebanon, 
 downtown Lebanon, setting, lebanon, 
a shanty town, setting, haiti, 
 a shack in Haiti, setting, haiti, 
a Polish village, setting, poland, 
a traditional village, setting, poland, 
a Potemkin village, setting, poland, 
camels in the desert, setting, mongolia, 
 outer Mongolia, setting, mongolia, 
an traditional European village, setting, estonia, 
 a traditional European town, setting, estonia, 
 an Estonian town, setting, estonia, 
a car factory, setting, car factory, 
 a Tesla factory, setting, car factory, 
a train station, setting, train station, 
 a train at a plaform, setting, train station, 
a secret underground bunker, setting, secret bunker, 
 a secret lair, setting, secret bunker, 
the Statue of Liberty, setting, statue of liberty, 
 the New York skyline, setting, statue of liberty, 
 a symbol of democracy, setting, statue of liberty, 
Barcelona, setting, barcelona, 
 Gaudi's cathedral, setting, barcelona, 
an oil well, setting, oil well, 
 an oil well gushing oil, setting, oil well, 
a coal mine, setting, coal mine, 
a rocket blasting off, setting, launchpad, 
 a shuttle on the launchpad, setting, launchpad, 
 a launchpad at Cape Canaveral, setting, launchpad, 
a nuclear power plant, setting, nuclear plant, 
 a power plant, setting, nuclear plant, 
 a power plant belching smoke into the sky, setting, nuclear plant, 
 Chernobyl, setting, nuclear plant, 
an ancient city of gleaming towers, setting, city of towers, 
the French Quarter in New Orleans, setting, new orleans, 
Chicago, setting, chicago, 
Idaho, setting, idaho, 
 a farm in Idaho, setting, idaho, 
the Ohio skyline, setting, ohio, 
snow-capped mountains reflected in crystal-clear waters, setting, alaska, 
downtown Michigan, setting, michigan, 
 a small town, setting, michigan, 
a snowy town in colorado, setting, colorado, 
a leaf-strewn rod in Wisconsin, setting, wisconsin, 
a rural farm in Iowa, setting, iowa, 
 a remote farm, setting, iowa, 
a government building, setting, buffalo, 
 a civic administration building, setting, buffalo, 
a gothic mansion, setting, georgia, 
 a mansion in a swamp, setting, georgia, 
a rocky outcrop, setting, utah, 
 a rock formation in Utah, setting, utah, 
a herd of cattle on the trail, setting, nebraska, 
a rural farm in Kansas, setting, kansas, 
 a farm with a white picket fence, setting, kansas, 
a windmill in Oklahoma, setting, oklahoma, 
 a remote farm in Oklahoma, setting, oklahoma, 
the Las Vegas strip, setting, las vegas, 
 a casino town, setting, las vegas, 
 sin city, setting, las vegas, 
a lighthouse in Maine, setting, maine, 
 a lighthouse on a rocky outcrop, setting, maine, 
a row of period houses, setting, baltimore, 
an empty street downtown, setting, providence, 
 a quiet downtown area, setting, providence, 
downtown at twilight, setting, fresno, 
a leafy suburb, setting, connecticut, 
the pentagon, setting, pentagon, 
 military headquarters, setting, pentagon, 
a stately Southern manor, setting, alabama, 
a watertower in the suburbs , setting, new jersey, 
the Minnesota skyline, setting, minnesota, 
 a bustling city, setting, minnesota, 
a leafy college campus, setting, harvard, 
 a red-brick university campus, setting, harvard, 
 an Ivy League college, setting, harvard, 
rural Wyoming, setting, wyoming, 
 Devils Tower in Wyoming, setting, wyoming, 
a sleepy farm in Kentucky, setting, kentucky, 
a leafy college campus, setting, berkeley, 
 a college campus in the fall, setting, berkeley, 
a colonial-style house, setting, virginia, 
Yosemite national park, setting, yosemite, 
 El Capitan in Yosemite, setting, yosemite, 
a lush forest overlooking a river, setting, arkansas, 
Moe's Tavern, setting, springfield, 
 a dive bar in Springfield, setting, springfield, 
an Ivy Leage college in the fall, setting, wellesley, 
the pampas in Argentina, setting, argentina, 
 a grassy field of sheep and cows, setting, argentina, 
a college on the river with rowboats, setting, cambridge, 
Oxford university, setting, oxford, 
 an old-fashioned university, setting, oxford, 
downtown Boston, setting, boston, 
 a patriotic monument in a city park, setting, boston, 
a wind farm, setting, wind farm, 
 a field full of wind turbines, setting, wind farm, 
the Duomo in Florence, setting, above florence, 
 the piazze del Duomo, setting, above florence, 
the Sistine ceiling, setting, sistine ceiling, 
a leafy college campus, setting, columbia, 
 a college campus in the fall, setting, columbia, 
a castle moat with a drawbridge, setting, castle walls, 
castle walls in a valley, setting, castle in valley, 
the banks of the river Styx, setting, banks of the Styx, 
a river of dark water, setting, black water, 
 the dark waters of the Styx, setting, black water, 
a river bank strewn with rubbish, setting, rubbish on river bank, 
behaving in a disgusting fashion, pose, disgusting, 
 doing something disgusting, pose, disgusting, 
 being disgusting, pose, disgusting, 
surrending to the police, pose, arrested, 
 under arrest, pose, arrested, 
pleading on one's knees, pose, begging, 
 reduced to begging, pose, begging, 
rolling a strike, pose, bowling, 
 going bowling, pose, bowling, 
in a trance, pose, brainwashed, 
 stumbling about in a trance, pose, brainwashed, 
 being hypnotised, pose, brainwashed, 
 walking in one's sleep, pose, brainwashed, 
 sleepwalking, pose, brainwashed, 
laying bricks, pose, building, 
 building a wall, pose, building, 
 building a brick wall, pose, building, 
carrying a box, pose, carrying, 
 carrying boxes, pose, carrying, 
delivering a package, pose, carrying for, 
 delivering packages, pose, carrying for, 
holding a punch bowl, pose, carrying bowl, 
 serving punch at a party, pose, carrying bowl, 
carrying a fishbowl, pose, carrying fishbowl, 
 carrying a goldfish bowl, pose, carrying fishbowl, 
 caaring for a goldfish, pose, carrying fishbowl, 
straining against shackles and heavy chains, pose, chained, 
laying down the gauntlet, pose, challenging, 
 issuing a challenge, pose, challenging, 
 challenging a rival, pose, challenging, 
feeling utterly charmed, pose, charmed, 
 feeling as if under a spell, pose, charmed, 
behaving childishly, pose, childish, 
 feeling like a little child again, pose, childish, 
 reliving one's childhood, pose, childish, 
 playing with childish things, pose, childish, 
behaving like a baby, pose, infantile, 
 acting as innocent as a newborn child, pose, infantile, 
cleaning and scrubbing with soap and suds and water, pose, cleaning, 
slopping out a bucket of waste, pose, slopping, 
 carrying a bucket of water, pose, slopping, 
going to a picnic, pose, picnicking, 
 carrying a basket of fruit, pose, picnicking, 
 coming back from a farmer's market, pose, picnicking, 
carrying a leaky bucket of water, pose, leaking, 
 spilling water from a leaky bucket, pose, leaking, 
 leaking water everywhere, pose, leaking, 
committing to a cause, pose, committing, 
 dedicating oneself to a noble cause, pose, committing, 
 offering to fight for a noble cause, pose, committing, 
playing golf, pose, golfing, 
 teeing off at the golf course, pose, golfing, 
 putting a ball on the golf course, pose, golfing, 
 swinging a golf club, pose, golfing, 
kicking a football, pose, competing, 
 playing a competitive sport, pose, competing, 
 playing soccer, pose, competing, 
 running up the field with the ball, pose, competing, 
running away with the ball, pose, competing for, 
 kicking a football back down the field, pose, competing for, 
jumping into the fray, pose, competing with, 
 leaping into action, pose, competing with, 
striking a confident pose, pose, confident, 
 exuding confidence, pose, confident, 
 looking to the future with confidence, pose, confident, 
confused and wary about the future, pose, confused, 
 feeling confused about what just happened, pose, confused, 
 feeling confused and unsure what to do next, pose, confused, 
holding a mixing bowl and a wooden spoon, pose, cooking, 
 making brownies with a wooden spoon, pose, cooking, 
 wearing a chef's hat, pose, cooking, 
slicing a loaf of bread with a sharp knife, pose, cutting bread, 
 making a sandwich from some bread, pose, cutting bread, 
cutting a block of cheese with a sharp knife, pose, cutting the cheese, 
offering ideas and clever suggestions, pose, creating, 
 bursting with ideas and suggestions, pose, creating, 
getting on to a bicycle, pose, mounting bicycle, 
 preparing to go for a bicycle ride, pose, mounting bicycle, 
getting off a bicycle, pose, dismounting bicycle, 
 coming back from a bicycle ride, pose, dismounting bicycle, 
riding a bicycle, pose, cycling, 
riding a motorbike, pose, motorcycling, 
hiding behind a gravestone, pose, dead, 
 watching a revenant rise from the dead, pose, dead, 
 shaking with fear in a graveyard, pose, dead, 
 contemplating death, pose, dead, 
guarding the citadel with a rifle, pose, defending, 
 standing to attention with a rifle, pose, defending, 
 defending democracy with a rifle, pose, defending, 
feeling depressed and under a dark cloud, pose, depressed, 
 living under a dark cloud, pose, depressed, 
 suffering from depression, pose, depressed, 
holding a blueprint for a new product, pose, designing, 
 putting a new idea into practice, pose, designing, 
 proudly showing the blueprint for a better lightbulb, pose, designing, 
feeling disappointed, pose, disappointed, 
 lacking confidence and direction, pose, disappointed, 
 feeling lost and unsure of oneself, pose, disappointed, 
stinking of poo, pose, skunk, 
 stinking like a skunk, pose, skunk, 
supporting the Republican party, pose, elephant, 
 campaigning for the Republican nomination, pose, elephant, 
 dressed as an elephant, pose, elephant, 
going on an important mission, pose, dispatched, 
 delivering an important message, pose, dispatched, 
getting dressed, pose, dressing, 
 choosing what clothes to wear, pose, dressing, 
 reorganizing the clothes in a wardrobe, pose, dressing, 
drinking a cup of coffee, pose, drinking coffee, 
 drinking coffee and eating a donut, pose, drinking coffee, 
driving a car, pose, driving, 
 holding the steering wheel of a car, pose, driving, 
crying at the grave of a loved one, pose, dying, 
 mourning the loss of a loved one, pose, dying, 
 begging for one's life at a grave, pose, dying, 
 coming to term's with death, pose, dying, 
feeling embarrassed, pose, embarrassed, 
 feeling exposed, pose, embarrassed, 
 feeling humiliated, pose, embarrassed, 
leaving with a suitcase and a bad attitude, pose, expelled, 
 angrily leaving town with a suitcase, pose, expelled, 
 angrily moving on, pose, expelled, 
exploding in a puff of smoke and a ball of fire, pose, exploding, 
 stepping on a landmine, pose, exploding, 
 being blown sky high, pose, exploding, 
falling backwards, pose, falling, 
 taking a sudden tumble, pose, falling, 
 stumbling and falling, pose, falling, 
 getting knocked backwards, pose, falling, 
standing on one's head, pose, standing on head, 
 doing a headstand, pose, standing on head, 
 doing cartwheels, pose, standing on head, 
taking a prize pig to market, pose, farming, 
 walking with a pig, pose, farming, 
farting loudly, pose, farting, 
 breaking wind, pose, farting, 
 suffering from a bad case of indigestion, pose, farting, 
running off to do battle, pose, fighting with, 
 running headlong into the fray, pose, fighting with, 
 running headlong into battle with fists swinging, pose, fighting with, 
acting the fool, pose, goofy, 
 playing the fool, pose, goofy, 
 goofing around, pose, goofy, 
 fooling around, pose, goofy, 
preparing to eat, pose, hungry, 
 salivating at the prospect of food, pose, hungry, 
 hungrily waving a knife and fork, pose, hungry, 
 tucking into a large meal with knife and fork, pose, hungry, 
 salivating at the thought of a juicy meal, pose, hungry, 
hiding behind a mask, pose, imitating, 
 pretending to be someone else, pose, imitating, 
 dressing up as someone else, pose, imitating, 
 doing an impression of someone, pose, imitating, 
feeling in awe of someone, pose, impressed, 
 reacting with awe and feeling impressed, pose, impressed, 
feeling confined and imprisoned, pose, imprisoned, 
 imprisoned behind bars, pose, imprisoned, 
 rotting in jail, pose, imprisoned, 
juggling balls, pose, juggling, 
 performing a party trick, pose, juggling, 
 being the life of the party, pose, juggling, 
 entertaining others, pose, juggling, 
squirting water from a toy pistol, pose, squirting, 
 making a mess with a water pistol, pose, squirting, 
 spraying water from a squirt gun, pose, squirting, 
laughing heartily, pose, laughing, 
 pointing and laughing mockingly, pose, laughing, 
 mocking another by pointing and laughing, pose, laughing, 
holding a briefcase and money, pose, lawyer, 
 negotiating a backroom deal, pose, lawyer, 
 cutting a business deal, pose, lawyer, 
 making a plea deal, pose, lawyer, 
passing the time of day, pose, neutral, 
feeling overshadowed, pose, overshadowed, 
experiencing shock and awe, pose, passing telephone, 
 reeling with shock, pose, passing telephone, 
 feeling overcome with awe, pose, passing telephone, 
pleading on one's knees, pose, pleading, 
 reduced to begging, pose, pleading, 
 pleading for mercy, pose, pleading, 
 pulling on the heartstrings, pose, pleading, 
posing for a photo, pose, posing, 
 posing for a portrait, pose, posing, 
 posing for a selfie, pose, posing, 
preying on the innocent, pose, preying, 
 scaring the life out of someone, pose, preying, 
 preparing to pounce on a victim, pose, preying, 
 hunting for a victim, pose, preying, 
examining a document, pose, examining document, 
 examining paperwork, pose, examining document, 
 examining a document with a magnifying glass, pose, examining document, 
reading the newspaper, pose, reading newspaper, 
 catching up with the news, pose, reading newspaper, 
reading a magazine, pose, reading magazine, 
feeling rejected and alone, pose, rejected, 
 feeling abandoned, pose, rejected, 
 feeling like an outcast, pose, rejected, 
riding a horse, pose, riding, 
 galloping into the fray, pose, riding, 
 arriving on horseback, pose, riding, 
 competing in a horse race, pose, riding, 
being vulgar and rude, pose, rude, 
 using lewd gestures and foul language, pose, rude, 
 angrily using lewd gestures and bad language, pose, rude, 
running into the fray, pose, running, 
 running to the scene, pose, running, 
feeling sad and tearful, pose, sad, 
 bursting out crying, pose, sad, 
 weeping and wailing, pose, sad, 
 crying like a baby, pose, sad, 
feeling scared, pose, scared, 
 feeling terrified, pose, scared, 
 shaking with terror, pose, scared, 
searching with a flashlight, pose, searching, 
 exploring with a flashlight, pose, searching, 
 peering into the gloom with a flashlight, pose, searching, 
campaigning for a favored candidate, pose, shilling, 
 handing out pamphlets for a candidate, pose, shilling, 
screaming and shouting, pose, screaming, 
 screaming at the top of one's lungs, pose, screaming, 
 letting out a sharp howl, pose, screaming, 
 howling like a spoilt brat, pose, screaming, 
 howling like a scalded cat, pose, screaming, 
feeling sick and helpless, pose, sick, 
 being confined to a wheelchair, pose, sick, 
 struggling with a wheelchair, pose, sick, 
singing a song of joy, pose, singing, 
 singing karaoke, pose, singing, 
 singing into a microphone, pose, singing, 
sipping a martini, pose, sipping, 
 making small talk at a cocktail party, pose, sipping, 
overcome with love, pose, smitten, 
 falling in love, pose, smitten, 
 falling head over heels in love, pose, smitten, 
smoking a big cigar, pose, smoking cigar, 
taking one giant leap for mankind, pose, space cadet, 
 planting the flag on an alien world, pose, space cadet, 
 boldly going where no man has gone before, pose, space cadet, 
 wearing a space suit and carrying a flag, pose, space cadet, 
holding a sharp knife and a Swiss army knife, pose, slicing, 
 comparing knives, pose, slicing, 
cutting hair, pose, styling, 
 working in a hair salon, pose, styling, 
 styling hair with scissors and blowdryer, pose, styling, 
 holding a pair of scissors and a blowdryer, pose, styling, 
issuing a royal summons, pose, summoning, 
 summoning a subject to an audience with the monarch, pose, summoning, 
feeling shocked and alarmed, pose, alarmed, 
 reacting with shock and awe, pose, alarmed, 
feeling surprised, pose, surprised, 
 reacting with surprise, pose, surprised, 
going for a swim, pose, swimming, 
 swimming in water, pose, swimming, 
answering the telephone, pose, telephoning, 
 speaking on the telephone, pose, telephoning, 
unleashing terror, pose, blasting, 
 bursting with anger, pose, blasting, 
 unleashing immense destructive power, pose, blasting, 
 hurling thunderbolts, pose, blasting, 
being toppled from power, pose, toppled, 
 being knocked off one's perch, pose, toppled, 
 losing one's position of power, pose, toppled, 
 falling from power, pose, toppled, 
towering over others, pose, towering, 
 feeling on top of the world, pose, towering, 
 rising to a great height, pose, towering, 
working out with weights, pose, training, 
 training with weights, pose, training, 
 sweatily lifting weights, pose, training, 
being transported, pose, transported, 
 being a backseat driver, pose, transported, 
 being taken for a ride, pose, transported, 
sitting in the driver's seat, pose, transporting, 
 driving away in a vehicle, pose, transporting, 
having the strange feeling of being watched, pose, unaware, 
 having the feeling of being followed, pose, unaware, 
 having to watch one's back, pose, unaware, 
walking a dog, pose, walking a dog, 
 taking a dog for a walk, pose, walking a dog, 
walking into a trap, pose, unwary, 
 stepping on a bear trap, pose, unwary, 
 walking into danger, pose, unwary, 
 making the wrong decision , pose, unwary, 
arriving with a suitcase, pose, visiting, 
 carrying a suitcase, pose, visiting, 
 coming on vacation, pose, visiting, 
arriving with a suitcase and an air of mystery, pose, stranger, 
walking away purposefully, pose, walking away, 
 exiting stage left, pose, walking away, 
working in an office, pose, working, 
 sweating over the bureacracy in an office, pose, working, 
 sweating next to a filing cabinet , pose, working, 
suffering an injury, pose, wounded, 
 suffering a head injury, pose, wounded, 
 wailing in pain, pose, wounded, 
cowering in fear amongst the rats, pose, cowering, 
popping pills, pose, popping pills, 
 swallowing pills, pose, popping pills, 
 abusing drugs, pose, popping pills, 
wearing black leather and chains, pose, gimp, 
 getting dressed as a gimp, pose, gimp, 
thinking carefully about what just happened, pose, thoughtful, 
 thinking carefully about what to do next, pose, thoughtful, 
rising from the dead, pose, rising from coffin, 
 rising from a coffin, pose, rising from coffin, 
 emerging from a coffin, pose, rising from coffin, 
catching on fire and running in panic, pose, on fire, 
 suddenly bursting into flame , pose, on fire, 
turning people to stone with a horrific gaze, pose, gorgon, 
 scaring people with a head full of snakes, pose, gorgon, 
